#Alpha,O250,O350,O500,KB250,KB350,KB500
-4.0,486.64,856.40,1902.40,0.9563,0.9605,0.9297
-3.5,482.68,850.89,1880.08,0.9642,0.9667,0.9407
-3.0,479.05,845.32,1857.69,0.9715,0.9731,0.9521
-2.5,475.56,839.69,1835.29,0.9786,0.9796,0.9637
-2.0,472.15,834.02,1812.94,0.9857,0.9863,0.9756
-1.5,468.76,828.31,1790.71,0.9928,0.9931,0.9877
-1.0,465.39,822.58,1768.66,1.0000,1.0000,1.0000
-0.5,462.01,816.85,1746.88,1.0073,1.0070,1.0125
0.0,458.65,811.12,1725.43,1.0147,1.0141,1.0251
0.5,455.29,805.40,1704.38,1.0222,1.0213,1.0377
1.0,451.94,799.71,1683.80,1.0298,1.0286,1.0504
1.5,448.61,794.06,1663.76,1.0374,1.0359,1.0631
2.0,445.31,788.47,1644.30,1.0451,1.0433,1.0756
2.5,442.04,782.93,1625.47,1.0528,1.0507,1.0881
3.0,438.80,777.47,1607.32,1.0606,1.0580,1.1004
3.5,435.62,772.09,1589.86,1.0683,1.0654,1.1125
4.0,432.47,766.80,1573.13,1.0761,1.0728,1.1243
4.5,429.39,761.60,1557.12,1.0838,1.0801,1.1359
5.0,426.36,756.52,1541.85,1.0915,1.0873,1.1471
