#Tc,K250,K350,K500,KE250,KE350,KE500
3,0.63,0.88,0.98,0.5479,0.7986,0.9023
4,0.85,0.99,1.04,0.7679,0.9361,1.0119
5,0.96,1.02,1.04,0.8915,0.9939,1.047
6,1.01,1.03,1.03,0.9586,1.0169,1.0547
7,1.03,1.02,1.01,0.9944,1.0246,1.0523
8,1.03,1.01,0.99,1.013,1.0253,1.0464
9,1.03,1,0.98,1.022,1.0227,1.0395
10,1.02,0.99,0.96,1.0254,1.0188,1.0329
15,0.99,0.96,0.92,1.0153,0.9984,1.0079
20,0.96,0.94,0.9,0.9998,0.9846,0.9938
25,0.94,0.92,0.89,0.9881,0.9757,0.9853
30,0.93,0.91,0.88,0.9796,0.9697,0.9796
35,0.92,0.91,0.88,0.9734,0.9655,0.9756
40,0.91,0.9,0.87,0.9688,0.9623,0.9727
